price,location,make,model,year,fuel,mileage_km,trans,body_type,color,reg,hp,euro,len_text
,Скопје,VW Volkswagen,Golf,2007,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,105.0, 4,16
3999.0,Скопје,VW Volkswagen,Golf,2004,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,105.0, 4,19
2350.0,Битола,Opel,Corsa,2001,Бензин,200000,Автоматски,Maли градски,Сива,Македонска,75.0, 4,29
2700.0,Битола,Audi,A6,2005,Дизел,250000,Рачен,Седани,Сива,Странска,181.0, 4,42
2650.0,Гостивар,Audi,A3,2002,Дизел,200000,Рачен,Купеа,Сина,Македонска,131.0, 3,51
2750.0,Скопје,Alfa Romeo,Alfa 147,2006,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,150.0, 4,23
5300.0,Битола,Peugeot,Partner,2010,Дизел,150000,Рачен,Моноволумен,Црвена,Македонска,90.0, 5,25
6000.0,Гостивар,VW Volkswagen,Passat,2010,Дизел,180000,Рачен,Каравани,Сина,Македонска,140.0, 5,80
,Скопје,Alfa Romeo,MiTo,2008,Дизел,190000,Рачен,Maли градски,Сива,Македонска,120.0, 5,38
950.0,Кавадарци,VW Volkswagen,Golf,1996,Дизел,300000,Рачен,Теренци - SUV,Зелена,Македонска,75.0, 2,38
4000.0,Неготино,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,04.2021,,0,68
8700.0,Битола,Audi,A4,2008,Дизел,200000,Рачен,Седани,Сива,Странска,143.0, 4,53
1500.0,Струмица,Alfa Romeo,Alfa 156,2002,Дизел,170000,Рачен,Каравани,Сива,Македонска,116.0, 3,100
15000.0,Скопје,Mercedes-Benz,C 180,2013,Дизел,180000,Автоматски,Седани,Сива,Македонска,120.0, 5,273
30000.0,Велес,Mercedes-Benz,E 300,2014,Хибрид,200000,Автоматски,Седани,Црна,Македонска,277.0, 6,21
13500.0,Велес,Mercedes-Benz,E 220,2010,Дизел,200000,Автоматски,Седани,Сива,Македонска,170.0, 5,18
52000.0,Велес,Porsche,Panamera,2013,Дизел,180000,Автоматски,Седани,Црна,Македонска,250.0, 5,111
4100.0,Велес,VW Volkswagen,Golf,2004,Дизел,190000,Рачен,Хеџбек,Зелена,Македонска,105.0, 4,27
5100.0,Ресен,Mercedes-Benz,C 200,2005,Дизел,20000,Автоматски,Седани,Сива,Македонска,139.0, 4,4
22.0,Скопје,VW Volkswagen,Golf,2000,Дизел,150000,Рачен,Хеџбек,Сива,Македонска,102.0, 4,12
19000.0,Скопје,VW Volkswagen,Passat,2015,Дизел,150000,Автоматски,Седани,Црна,Македонска,190.0, 6,73
3350.0,Скопје,Renault,Twingo,2009,Бензин,160000,Рачен,Maли градски,Бела,Македонска,76.0, 4,71
7299.0,Скопје,Renault,Clio,2017,Бензин,30000,Рачен,Хеџбек,Црвена,Македонска,73.0, 5,44
4550.0,Скопје,Citroen,Grand C4 Picasso,2008,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,110.0, 5,21
,Скопје,Mercedes-Benz,C 200,2001,Дизел,200000,Рачен,Седани,Црна,Македонска,124.0,0,24
5000.0,Струмица,Mitsubishi,Pajero,2002,Дизел,45000,Рачен,Теренци - SUV,Црна,Македонска,135.0, 4,17
7700.0,Крива Паланка,Mercedes-Benz,C 220,2008,Дизел,180000,Автоматски,Седани,Жолта,Македонска,170.0, 5,144
6990.0,Крива Паланка,BMW,X 3,2006,Дизел,150000,Рачен,Теренци - SUV,Сива,Македонска,150.0, 4,26
,Куманово,Mitsubishi,Colt,2010,Бензин,160000,Рачен,Maли градски,Бела,Македонска,90.0, 4,21
4250.0,Крива Паланка,VW Volkswagen,Golf Plus,2005,Дизел,140000,Рачен,Хеџбек,Сива,Македонска,105.0, 4,21
,Куманово,Mitsubishi,Colt,2007,Бензин,200000,Рачен,Maли градски,Црна,Странска,90.0, 4,20
3.0,Скопје,Alfa Romeo,MiTo,2013,Бензин,130000,Рачен,Maли градски,Сива,Македонска,79.0, 5,12
6.0,Скопје,Ford,Focus,2013,Дизел,160000,Рачен,Хеџбек,Црна,Македонска,95.0, 5,13
3.0,Скопје,Peugeot,307,2002,Дизел,200000,Рачен,Maли градски,Сива,Македонска,90.0, 4,10
,Скопје,VW Volkswagen,Passat,2008,Дизел,170000,Рачен,Седани,Сива,Македонска,140.0, 5,161
13800.0,Скопје,Audi,A5,2009,Дизел,180000,Рачен,Седани,Сива,Македонска,170.0, 5,135
2750.0,Кавадарци,Fiat,Grande Punto,2007,Бензин,120000,Рачен,Maли градски,Сива,Македонска,95.0, 4,63
3350.0,Струмица,Opel,Corsa,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,80.0, 4,36
2900.0,Струмица,Fiat,Grande Punto,2006,Бензин,170000,Рачен,Хеџбек,Црвена,Македонска,95.0, 4,27
3600.0,Струмица,Opel,Combo,2008,Бензин,130000,Рачен,Моноволумен,Сина,Македонска,90.0, 4,52
5100.0,Свети Николе,Dodge,Caliber,2009,Дизел,200000,Рачен,Теренци - SUV,Црвена,Македонска,140.0, 5,29
3850.0,Струмица,Opel,Astra,2009,Дизел,200000,Рачен,Каравани,Сива,Македонска,110.0, 4,40
6100.0,Скопје,Opel,Astra,2010,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,110.0, 5,143
,Битола,Audi,A3,2007,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,170.0, 4,33
3450.0,Свети Николе,Opel,Astra,2005,Дизел,150000,Рачен,Хеџбек,Сина,Македонска,101.0, 4,44
,Битола,Fiat,Panda,2007,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,60.0, 5,22
3450.0,Струмица,Ford,Focus,2008,Дизел,180000,Рачен,Каравани,Сива,Македонска,90.0, 4,33
3100.0,Свети Николе,Fiat,Grande Punto,2006,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,75.0, 4,24
3850.0,Свети Николе,Ford,Fiesta,2008,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,68.0, 5,44
5700.0,Скопје,Seat,Leon,2011,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,105.0, 5,50
4200.0,Свети Николе,VW Volkswagen,Golf Plus,2006,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,105.0, 4,25
2650.0,Свети Николе,VW Volkswagen,Polo,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,75.0, 4,34
23900.0,Скопје,Mercedes-Benz,E 200,2014,Дизел,250000,Автоматски,Седани,Црна,Македонска,136.0, 5,11
,Прилеп,Citroen,C4 Aircross,2016,Дизел,170000,Рачен,Теренци - SUV,Бела,Македонска,114.0, 6,30
4499.0,Скопје,Mitsubishi,Colt,2007,Бензин / Плин,120000,Автоматски,Maли градски,Сива,Македонска,109.0, 4,92
5700.0,Куманово,Peugeot,308,2012,Дизел,140000,Рачен,Хеџбек,Сива,Македонска,114.0, 5,24
2200.0,Скопје,Rover,75,2001,Дизел,200000,Рачен,Седани,Сива,Македонска,116.0, 3,32
6500.0,Скопје,VW Volkswagen,Touran,2009,Дизел,190000,Рачен,Maли градски,Црна,Македонска,105.0, 4,20
4900.0,Скопје,BMW,120,2006,Дизел,250000,Рачен,Хеџбек,Сива,Македонска,163.0, 4,10
2950.0,Скопје,Peugeot,307,2006,Дизел,190000,Рачен,Maли градски,Сина,Македонска,136.0, 4,13
10500.0,Кочани,VW Volkswagen,Passat,2011,Дизел,190000,Рачен,Седани,Златна,Македонска,105.0, 6,54
3300.0,Битола,Renault,Megane,2007,Бензин / Плин,150000,Автоматски,Хеџбек,Сина,Македонска,135.0, 4,130
,Охрид,Mercedes-Benz,ML 320,2008,Дизел,190000,Автоматски,Теренци - SUV,Црна,Македонска,224.0, 4,111
,Крива Паланка,Mercedes-Benz,E 220,2000,Дизел,250000,Автоматски,Седани,Сива,Странска,143.0, 3,18
22999.0,Струмица,BMW,330,2014,Дизел,170000,Автоматски,Седани,Црна,Македонска,258.0, 5,40
,Битола,VW Volkswagen,Passat,2017,Дизел,190000,Рачен,Седани,Црна,Македонска,120.0, 6,39
2600.0,Крива Паланка,Opel,Astra,2008,Дизел,170000,Рачен,Каравани,Сива,Странска,110.0, 5,51
5000.0,Скопје,Mercedes-Benz,S 320,2002,Дизел,200000,Автоматски,Седани,Сива,Македонска,197.0, 4,6
4800.0,Скопје,Mercedes-Benz,ML 400,2003,Дизел,250000,Автоматски,Теренци - SUV,Сива,Македонска,250.0, 4,13
1400.0,Скопје,VW Volkswagen,Vento,1995,Дизел,200000,Рачен,Седани,Зелена,Македонска,90.0, 2,28
1290.0,Битола,Nissan,Micra,1992,Бензин / Плин,130000,Рачен,Maли градски,Црвена,Македонска,57.0, 2,15
,Битола,BMW,116,2009,Бензин,190000,Рачен,Хеџбек,Сива,Македонска,120.0, 5,35
14999.0,Делчево,BMW,525,2011,Дизел,200000,Рачен,Седани,Црна,Македонска,204.0, 5,145
4300.0,Делчево,Seat,Leon,2009,Дизел,170000,Рачен,Maли градски,Црна,Македонска,105.0, 4,139
5650.0,Крива Паланка,VW Volkswagen,Caddy,2007,Дизел,190000,Автоматски,Моноволумен,Црна,Македонска,105.0, 4,490
5999.0,Кочани,Opel,Astra,2010,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,110.0, 5,62
4700.0,Велес,Alfa Romeo,MiTo,2009,Дизел,140000,Рачен,Maли градски,Сива,Македонска,120.0, 5,68
2890.0,Скопје,Ford,Focus,2006,Дизел,20000,Рачен,Каравани,Сива,Македонска,90.0, 4,12
1750.0,Скопје,Citroen,Xsara,2004,Бензин / Плин,140000,Рачен,Седани,Бела,Македонска,95.0, 2,7
2900.0,Скопје,Suzuki,Swift,1993,Бензин,Рачен,Купеа,Жолта,Македонска,12.2019,,0,115
,Скопје,Opel,Astra,1994,Бензин / Плин,190000,Рачен,Седани,Зелена,Македонска,75.0, 3,20
,Скопје,Ssangyong,MUSSO,2002,Дизел,200000,Рачен,Теренци - SUV,Златна,Македонска,105.0,Останато,35
4500.0,Скопје,VW Volkswagen,Passat,2008,Дизел,250000,Автоматски,Каравани,Сина,Македонска,140.0, 5,40
2400.0,Кичево,Chevrolet,Spark,2006,Бензин,160000,Рачен,Maли градски,Сина,Македонска,151.0, 4,72
7700.0,Скопје,BMW,520,2008,Дизел,200000,Автоматски,Каравани,Бела,Македонска,177.0, 4,108
1500.0,Скопје,BMW,316,1985,Бензин,180000,Рачен,Хеџбек,Црна,Македонска,75.0, 1,13
1599.0,Скопје,Renault,Megane,2003,Дизел,250000,Рачен,Maли градски,Сина,Македонска,120.0, 4,48
2570.0,Куманово,Citroen,C4,2004,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,136.0, 4,8
4500.0,Куманово,Audi,A3,2005,Дизел,250000,Рачен,Хеџбек,Сина,Македонска,105.0, 4,14
3000.0,Скопје,Peugeot,206,2007,Дизел,200000,Рачен,Maли градски,Сива,Македонска,68.0, 4,57
6640.0,Куманово,VW Volkswagen,Golf,2009,Дизел,200000,Рачен,Хеџбек,Црвена,Македонска,105.0, 4,17
1900.0,Скопје,VW Volkswagen,Lupo,2002,Бензин,190000,Рачен,Maли градски,Бела,Македонска,75.0, 4,36
1700.0,Скопје,Seat,Ibiza,2001,Бензин / Плин,250000,Рачен,Maли градски,Црвена,Македонска,60.0, 3,34
3300.0,Скопје,Renault,Scenic,2006,Дизел,20000,Рачен,Хеџбек,Црна,Македонска,204.0, 4,22
,Скопје,VW Volkswagen,Tiguan,2014,Дизел,100000,Рачен,Теренци - SUV,Сива,Македонска,140.0, 5,12
2200.0,Струга,Smart,ForTwo,2002,Бензин,150000,Автоматски,Maли градски,Црна,Македонска,61.0, 4,13
3150.0,Битола,Ford,Fiesta,2007,Бензин,130000,Рачен,Maли градски,Сина,Македонска,69.0, 4,59
4950.0,Битола,Toyota,Auris,2008,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,90.0, 4,47
6500.0,Прилеп,LandRover,Range Rover,2000,Дизел,200000,Рачен,Теренци - SUV,Црна,Македонска,204.0, 3,4
,Скопје,Renault,Twingo,2008,Дизел,150000,Рачен,Maли градски,Црна,Македонска,64.0, 4,25
,Скопје,Smart,ForTwo,2007,Дизел,110000,Автоматски,Maли градски,Сина,Македонска,45.0, 4,16
,Скопје,Audi,A3,2008,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,140.0, 4,25
5100.0,Прилеп,VW Volkswagen,Golf,2008,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,105.0, 5,22
5600.0,Прилеп,Citroen,C3 Picasso,2011,Дизел,180000,Рачен,Моноволумен,Сива,Македонска,92.0, 5,27
,Гостивар,Alfa Romeo,Alfa 166,1999,Бензин,190000,Рачен,Седани,Сива,Македонска,190.0, 3,61
,Гостивар,Jeep,Commander,2008,Дизел,170000,Автоматски,Теренци - SUV,Сива,Македонска,218.0, 4,36
5550.0,Прилеп,VW Volkswagen,Golf,2008,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,105.0, 4,123
8999.0,Струмица,Honda,Accord,2009,Дизел,200000,Рачен,Седани,Сива,Странска,150.0, 4,51
3400.0,Струмица,Fiat,Panda,2011,Бензин,80000,Рачен,Хеџбек,Бела,Македонска,75.0, 5,31
,Скопје,Seat,Altea,2006,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,105.0, 5,39
1400.0,Кочани,Opel,Astra,1999,Дизел,200000,Рачен,Седани,Црвена,Македонска,82.0, 2,24
5600.0,Скопје,Seat,Exeo,2009,Дизел,170000,Рачен,Седани,Црна,Македонска,120.0, 5,24
,Кочани,VW Volkswagen,Golf,2005,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,105.0, 4,28
3700.0,Штип,Peugeot,207,2009,Бензин / Плин,150000,Рачен,Хеџбек,Сива,Македонска,73.0, 5,88
3590.0,Штип,VW Volkswagen,Polo,2007,Дизел,160000,Рачен,Хеџбек,Сина,Македонска,80.0, 4,106
33.0,Велес,VW Volkswagen,Polo,2006,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,80.0, 4,55
6800.0,Штип,VW Volkswagen,Golf,2011,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,90.0, 5,116
1699.0,Скопје,Opel,Signum,2004,Бензин,190000,Автоматски,Останато,Сива,Македонска,155.0, 4,4
,Штип,Nissan,Juke,2012,Дизел,110000,Рачен,Теренци - SUV,Сива,Македонска,110.0, 5,161
3999.0,Скопје,Mercedes-Benz,E 220,2003,Дизел,5000,Рачен,Останато,Сива,Македонска,150.0, 4,9
1500.0,Скопје,Alfa Romeo,Alfa 147,2002,Бензин / Плин,25000,Рачен,Седани,Црвена,Македонска,151.0, 3,29
3499.0,Скопје,Audi,A3,2004,Дизел,190000,Рачен,Останато,Сива,Македонска,140.0, 4,4
2499.0,Скопје,Mercedes-Benz,C 220,2002,Дизел,5000,Автоматски,Каравани,Бела,Македонска,143.0, 4,9
,Скопје,Hyundai,Coupe,2003,Бензин,160000,Рачен,Купеа,Сива,Македонска,105.0, 3,85
2450.0,Куманово,Opel,Corsa,2006,Бензин,200000,Рачен,Maли градски,Црна,Македонска,80.0, 4,69
2450.0,Куманово,Opel,Corsa,2006,Бензин,200000,Рачен,Maли градски,Црна,Македонска,80.0, 4,117
4200.0,Скопје,BMW,320,2002,Дизел,200000,Рачен,Седани,Црна,Македонска,150.0, 3,18
3900.0,Скопје,VW Volkswagen,Touran,2006,Дизел,170000,Рачен,Моноволумен,Сива,Македонска,105.0, 4,53
3750.0,Пробиштип,Opel,Astra,2008,Дизел,190000,Рачен,Каравани,Сива,Македонска,101.0, 4,13
2999.0,Скопје,Audi,A6,2004,Дизел,200000,Автоматски,Каравани,Сива,Македонска,179.0, 4,96
,Штип,Zastava,Yugo,1996,Бензин,75000,Рачен,Maли градски,Бела,Македонска,54.0, 1,37
1799.0,Скопје,Mercedes-Benz,A 170,2002,Дизел,160000,Рачен,Maли градски,Сива,Македонска,95.0, 4,46
7500.0,Тетово,Audi,A6,2006,Дизел,170000,Рачен,Седани,Сива,Македонска,179.0, 4,5
1499.0,Скопје,Daewoo,Matiz,2006,Бензин / Плин,100000,Рачен,Maли градски,Сива,Македонска,1.0, 4,18
,Скопје,Skoda,Fabia,2011,Дизел,130000,Рачен,Хеџбек,Бела,Македонска,75.0, 5,37
,Струга,Mercedes-Benz,CLS 320,2007,Дизел,190000,Автоматски,Седани,Црна,Македонска,224.0, 4,80
3800.0,Пробиштип,Mercedes-Benz,A 160,2008,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,82.0, 4,21
3300.0,Крива Паланка,Peugeot,Bipper,2009,Дизел,160000,Рачен,Каравани,Бела,Македонска,75.0, 4,31
3000.0,Пробиштип,Fiat,Grande Punto,2006,Дизел,200000,Рачен,Maли градски,Црна,Македонска,90.0, 4,11
5700.0,Куманово,Peugeot,308,2012,Дизел,140000,Рачен,Хеџбек,Сива,Македонска,114.0, 5,24
3150.0,Штип,Fiat,Grande Punto,2007,Дизел,15000,Рачен,Maли градски,Црна,Македонска,90.0, 5,40
4800.0,Скопје,Renault,Megane,2010,Дизел,150000,Рачен,Хеџбек,Сина,Македонска,106.0, 5,30
3450.0,Струмица,Ford,Focus,2008,Дизел,180000,Рачен,Каравани,Сива,Македонска,90.0, 4,33
3100.0,Свети Николе,Fiat,Grande Punto,2006,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,75.0, 4,24
